,name,productUrl,price,discount,ratingScore,review,inStock,location,image,Seller Name,Brand Name,Seller Id
1705,"New Floral Flower Cotton Bath Towel, Quality Bath Hand Towels, High Quality Beach Terry Towels",//www.daraz.pk/products/new-floral-flower-cotton-bath-towel-quality-bath-hand-towels-high-quality-beach-terry-towels-i160014810-s1326540030.html?search=1,Rs. 180,,4,1,True,Pakistan,https://static-01.daraz.pk/p/8474c8c6e260b694969bc9647341a8d9.jpg,Rizwan Mart,Rizwan Mart,1007244
1706,"New Floral Flower Cotton Bath Towel, Quality Bath Hand Towels, High Quality Beach Terry Towels",//www.daraz.pk/products/new-floral-flower-cotton-bath-towel-quality-bath-hand-towels-high-quality-beach-terry-towels-i157754650-s1324142487.html?search=1,Rs. 180,,5,1,True,Pakistan,https://static-01.daraz.pk/p/8474c8c6e260b694969bc9647341a8d9.jpg,ADNAN RASHEED & SONS (Karachi),ADNAN RASHEED & SONS,17427
1707,Automatic Plastic Toothpaste Dispenser Toothbrush Holder Squeezer Bathroom Shelves Bathing Accessories Brush Holders,//www.daraz.pk/products/automatic-plastic-toothpaste-dispenser-toothbrush-holder-squeezer-bathroom-shelves-bathing-accessories-brush-holders-i156422338-s1322406759.html?search=1,Rs. 349,,5,1,True,Pakistan,https://static-01.daraz.pk/p/9024f28a8339ab3096f8fb18746c65f5.jpg_340x340q80.jpg,Butt Motors (Karachi),Butt Motors,24325
1708,"Discount Silicone Scrubber Dish Washing, Food Grade Kitchen Dish Washing Sponge Brush",//www.daraz.pk/products/discount-silicone-scrubber-dish-washing-food-grade-kitchen-dish-washing-sponge-brush-i156332796-s1322290829.html?search=1,Rs. 99,-50%,5,1,True,Pakistan,https://static-01.daraz.pk/p/79e40c27cfad392e64c799ce3160a211.jpg,Base,Base,1091300
1709,2pc Good Quality Soft And Gentle Bath Sponge Bath Ball Loofah,//www.daraz.pk/products/2pc-good-quality-soft-and-gentle-bath-sponge-bath-ball-loofah-i156300406-s1322234121.html?search=1,Rs. 299,-40%,5,1,True,Pakistan,https://static-01.daraz.pk/p/3eae5fa6f29faacf83bc4ef59239f47a.jpg,HS SUPPLY and TRADING (Karachi),HS,23706
1710,SEAT COVER NUT BOLTS FOR PORTA & OTHER IMPORTED SEAT COVERS,//www.daraz.pk/products/seat-cover-nut-bolts-for-porta-other-imported-seat-covers-i156282933-s1322214288.html?search=1,Rs. 349,,5,1,True,Pakistan,https://static-01.daraz.pk/p/8931cf3b4d54544c671349f63ee70e49.jpg,Alburhan Sanitary (Karachi),PORTA Ceramics,18867
1711,Multifunctional Toothpaste Tube Press Squeezer Plastic Toothpaste Dispenser Tooth Paste Holder Bathroom Accessories Set,//www.daraz.pk/products/multifunctional-toothpaste-tube-press-squeezer-plastic-toothpaste-dispenser-tooth-paste-holder-bathroom-accessories-set-i155920378-s1321694537.html?search=1,Rs. 279,-30%,5,1,True,Pakistan,https://static-01.daraz.pk/p/4dfbd212b2bb609ebb2a67215bfea8a1.jpg,Noor Store (Karachi),Noor Store (Karachi),6005010747015
1712,High Quality New 20pcs Magic Compressed Travel Towel Disposable Towel Tissue,//www.daraz.pk/products/high-quality-new-20pcs-magic-compressed-travel-towel-disposable-towel-tissue-i155470521-s1321084353.html?search=1,Rs. 155,-61%,5,1,True,Pakistan,https://static-01.daraz.pk/p/cf57831fc10cf21b4b5ec113f72bd1aa.jpg,Maddyshop,Abrish Shop,6005008005058
1713,6Pcs Baby Infant Newborn Cotton Bath Towel Washcloth Bathing Feeding Wipe Cloth Soft,//www.daraz.pk/products/6pcs-baby-infant-newborn-cotton-bath-towel-washcloth-bathing-feeding-wipe-cloth-soft-i155236470-s1320734074.html?search=1,Rs. 299,,5,3,True,Pakistan,https://static-01.daraz.pk/p/5d8759f2e2b0f3da3ab06dc9e46c64e0.jpg,Hur.kay Collection,HK COLLECTIONS,6005010759022
1714,Camry Slim Glass Electronic Digital Portable Bath Bathroom Body Weight Scale Machine ( 150 ),//www.daraz.pk/products/camry-slim-glass-electronic-digital-portable-bath-bathroom-body-weight-scale-machine-150-i155198164-s1320676258.html?search=1,"Rs. 2,399",-31%,5,1,True,Pakistan,https://static-01.daraz.pk/p/d7df46ba18416998a7ac139215f60473.jpg,Get Mobiles,Get mobile,1109884
